alpha,L1,L2,L3,e1,e2,e3
0.568,-0.09613709752852106,1.1740073951246828,-1.2209970145489373,5.428919497543298,0.34089149766516186,0.012833489296874404
0.569,-0.09755504163514206,1.1736377462983099,-1.2213125783858323,5.3610937434085715,0.3416007820583563,0.01291295547643069
0.57,-0.09897317058850641,1.1732678160407692,-1.2216276030944053,5.295207373652475,0.34231049924219353,0.012992827654998618
0.571,-0.10039148725263103,1.1728976056476055,-1.2219420860004442,5.231178432863946,0.34302064963614987,0.0130731078413946
0.572,-0.10180999449981598,1.172527116408561,-1.2222560244134004,5.168929518698202,0.3437312336597761,0.013153798057693277
0.573,-0.10322869521078948,1.172156349607615,-1.2225694156263027,5.108387470022313,0.34444225173269677,0.01323490033930565
0.574,-0.10464759227484399,1.1717853065230135,-1.2228822569155766,5.049483080346686,0.34515370427461833,0.013316416735134843
0.575,-0.10606668858998247,1.1714139884273185,-1.2231945455408992,4.99215083418165,0.3458655917053153,0.01339834930770307
0.576,-0.10748598706305812,1.1710423965874321,-1.2235062787450857,4.936328664208284,0.3465779144446451,0.013480700133252648
0.577,-0.10890549060992283,1.1706705322646362,-1.2238174537539108,4.8819577273707395,0.34729067291254473,0.013563471301900281
0.578,-0.11032520215556818,1.170298396714637,-1.2241280677759887,4.828982198192481,0.3480038675290207,0.013646664917744227
0.579,-0.11174512463427677,1.1699259911875846,-1.2244381180025974,4.777349077789758,0.3487174987141682,0.013730283099016477
0.58,-0.1131652609897632,1.1695533169281171,-1.2247476016075431,4.7270080172094255,0.3494315668881613,0.013814327978202525
0.581,-0.11458561417532853,1.1691803751754,-1.2250565157470166,4.677911153852435,0.35014607247124885,0.013898801702168092
0.582,-0.11600618715401034,1.1688071671631528,-1.2253648575594172,4.630012959866529,0.3508610158837635,0.013983706432312115
0.583,-0.11742698289872622,1.1684336941196805,-1.2256726241652005,4.583270101498743,0.3515763975461263,0.014069044344700929
0.584,-0.11884800439243748,1.1680599572679222,-1.2259798126667465,4.537641308493554,0.3522922178788298,0.014154817630185536
0.585,-0.12026925462829208,1.167685957825471,-1.2262864201481567,4.493087252710667,0.35300847730245544,0.014241028494577469
0.586,-0.12169073660978535,1.167311697004609,-1.2265924436751408,4.449570435210797,0.35372517623767197,0.014327679158751118
0.587,-0.12311245335091425,1.1669371760123484,-1.2268978802948098,4.407055081128921,0.35444231510522656,0.014414771858823216
0.588,-0.12453440787633618,1.1665623960504576,-1.2272027270355412,4.365507041715098,0.35515989432595446,0.014502308846273723
0.589,-0.12595660322152302,1.166187358315496,-1.227506980906798,4.3248937029795,0.35587791432077637,0.014590292388103755
0.59,-0.12737904243292697,1.1658120639988492,-1.2278106388989607,4.28518390042746,0.3565963755106957,0.014678724766984003
0.591,-0.1288017285681362,1.1654365142867527,-1.2281136979831648,4.24634783941669,0.3573152783168096,0.014767608281398536
0.592,-0.1302246646960442,1.165060710360331,-1.2284161551111135,4.2083570207082825,0.35803462316030077,0.014856945245809149
0.593,-0.13164785389700484,1.1646846533956334,-1.2287180072149293,4.171184170821263,0.35875441046243367,0.014946737990787443
0.594,-0.13307129926300676,1.1643083445636484,-1.2290192512069402,4.134803176832143,0.3594746406445747,0.015036988863202125
0.595,-0.13449500389783453,1.1639317850303568,-1.2293198839795318,4.099189025292759,0.36019531412816713,0.0151277002263509
0.596,-0.13591897091723915,1.1635549759567452,-1.229619902404954,4.064317744965556,0.3609164313347521,0.015218874460130923
0.597,-0.13734320344910766,1.1631779184988478,-1.2299193033351399,4.0301663531010625,0.36163799268595653,0.015310513961198442
0.598,-0.13876770463363453,1.1628006138077693,-1.2302180836015162,3.996712805004508,0.3623599986035022,0.015402621143137238
0.599,-0.14019247762349518,1.1624230630297194,-1.2305162400148302,3.9639359466589745,0.36308244950920143,0.015495198436611736
0.6,-0.14161752558401752,1.16204526730604,-1.2308137693649472,3.931815470191243,0.36380534582496116,0.015588248289545964
0.601,-0.14304285169336428,1.1616672277732372,-1.231110668420658,3.900331871983042,0.36452868797278004,0.015681773167294112
0.602,-0.14446845914270445,1.1612889455630127,-1.2314069339294917,3.869466413246585,0.36525247637474817,0.015775775552806764
0.603,-0.14589435113639726,1.1609104218022839,-1.2317025626175322,3.8392010828964547,0.3659767114530572,0.015870257946794333
0.604,-0.14732053089216968,1.1605316576132259,-1.2319975511891843,3.8095185625636754,0.3667013936299864,0.015965222867932453
0.605,-0.14874700164130272,1.1601526541132912,-1.232291896327006,3.780402193608807,0.36742652332791365,0.016060672853013238
0.606,-0.15017376662881343,1.159773412415242,-1.2325855946914994,3.7518359460023603,0.36815210096931195,0.016156610457130082
0.607,-0.15160082911364237,1.159393933627172,-1.2328786429208896,3.7238043889501573,0.3688781269767574,0.016253038253873708
0.608,-0.15302819236884468,1.1590142188525494,-1.2331710376309353,3.6962926631505764,0.3696046017729125,0.01634995883550119
0.609,-0.15445585968177233,1.1586342691902258,-1.2334627754147065,3.6692864545791073,0.3703315257805494,0.016447374813133454
0.61,-0.15588383435427522,1.1582540857344825,-1.23375385284238,3.6427719697025482,0.3710588994225283,0.016545288816937613
