alpha,L1,L2,L3
0.902000,-0.948674,0.593564,-1.849430
0.903000,-0.949221,0.593816,-1.849323
0.904000,-0.949767,0.594069,-1.849215
0.905000,-0.950312,0.594321,-1.849107
0.906000,-0.950857,0.594574,-1.849000
0.907000,-0.951402,0.594826,-1.848892
0.908000,-0.951946,0.595078,-1.848785
0.909000,-0.952489,0.595330,-1.848678
0.910000,-0.953032,0.595583,-1.848571
0.911000,-0.953575,0.595835,-1.848464
0.912000,-0.954117,0.596087,-1.848357
0.913000,-0.954659,0.596339,-1.848250
0.914000,-0.955201,0.596590,-1.848143
0.915000,-0.955742,0.596842,-1.848037
0.916000,-0.956282,0.597094,-1.847930
0.917000,-0.956822,0.597346,-1.847824
0.918000,-0.957362,0.597597,-1.847717
0.919000,-0.957901,0.597849,-1.847611
0.920000,-0.958439,0.598100,-1.847505
0.921000,-0.958978,0.598352,-1.847399
0.922000,-0.959515,0.598603,-1.847293
0.923000,-0.960053,0.598854,-1.847187
0.924000,-0.960590,0.599105,-1.847081
0.925000,-0.961126,0.599357,-1.846975
0.926000,-0.961662,0.599608,-1.846869
0.927000,-0.962197,0.599859,-1.846764
0.928000,-0.962732,0.600110,-1.846658
0.929000,-0.963267,0.600360,-1.846553
0.930000,-0.963801,0.600611,-1.846448
0.931000,-0.964334,0.600862,-1.846342
0.932000,-0.964868,0.601113,-1.846237
0.933000,-0.965400,0.601363,-1.846132
0.934000,-0.965932,0.601614,-1.846027
0.935000,-0.966464,0.601865,-1.845922
0.936000,-0.966995,0.602115,-1.845817
0.937000,-0.967526,0.602365,-1.845713
0.938000,-0.968057,0.602616,-1.845608
0.939000,-0.968586,0.602866,-1.845504
0.940000,-0.969116,0.603116,-1.845399
0.941000,-0.969645,0.603367,-1.845295
0.942000,-0.970173,0.603617,-1.845190
0.943000,-0.970701,0.603867,-1.845086
0.944000,-0.971229,0.604117,-1.844982
0.945000,-0.971756,0.604367,-1.844878
0.946000,-0.972282,0.604617,-1.844774
0.947000,-0.972809,0.604866,-1.844670
0.948000,-0.973334,0.605116,-1.844567
0.949000,-0.973859,0.605366,-1.844463
0.950000,-0.974384,0.605616,-1.844359
0.951000,-0.974908,0.605865,-1.844256
0.952000,-0.975432,0.606115,-1.844152
0.953000,-0.975955,0.606364,-1.844049
0.954000,-0.976478,0.606614,-1.843946
0.955000,-0.977000,0.606863,-1.843843
0.956000,-0.977522,0.607112,-1.843740
0.957000,-0.978043,0.607362,-1.843637
0.958000,-0.978564,0.607611,-1.843534
0.959000,-0.979085,0.607860,-1.843431
0.960000,-0.979604,0.608109,-1.843328
0.961000,-0.980124,0.608358,-1.843225
0.962000,-0.980643,0.608607,-1.843123
0.963000,-0.981161,0.608856,-1.843020
0.964000,-0.981679,0.609105,-1.842918
0.965000,-0.982197,0.609354,-1.842816
0.966000,-0.982714,0.609603,-1.842713
0.967000,-0.983230,0.609852,-1.842611
0.968000,-0.983746,0.610100,-1.842509
0.969000,-0.984262,0.610349,-1.842407
0.970000,-0.984777,0.610598,-1.842305
0.971000,-0.985291,0.610846,-1.842203
0.972000,-0.985805,0.611095,-1.842102
0.973000,-0.986319,0.611343,-1.842000
0.974000,-0.986832,0.611592,-1.841898
0.975000,-0.987345,0.611840,-1.841797
0.976000,-0.987857,0.612088,-1.841696
0.977000,-0.988369,0.612336,-1.841594
0.978000,-0.988880,0.612585,-1.841493
0.979000,-0.989390,0.612833,-1.841392
0.980000,-0.989901,0.613081,-1.841291
0.981000,-0.990410,0.613329,-1.841190
0.982000,-0.990919,0.613577,-1.841089
0.983000,-0.991428,0.613825,-1.840988
0.984000,-0.991936,0.614073,-1.840887
0.985000,-0.992444,0.614321,-1.840787
0.986000,-0.992951,0.614569,-1.840686
0.987000,-0.993458,0.614817,-1.840586
0.988000,-0.993964,0.615064,-1.840485
0.989000,-0.994470,0.615312,-1.840385
0.990000,-0.994975,0.615560,-1.840285
0.991000,-0.995480,0.615807,-1.840185
0.992000,-0.995984,0.616055,-1.840084
0.993000,-0.996488,0.616302,-1.839984
0.994000,-0.996991,0.616550,-1.839885
0.995000,-0.997494,0.616797,-1.839785
0.996000,-0.997996,0.617045,-1.839685
0.997000,-0.998498,0.617292,-1.839585
0.998000,-0.998999,0.617539,-1.839486
0.999000,-0.999500,0.617787,-1.839386
